ACCID;ACCUSERNAME;ACCPASSWORD;DATEOPEN;TOTALMONEY;DVT;CUSID;BranchID
A00000786;6230261533;Keaton1980@3PENSIL06R;2020-01-12;204487387;VND;C00000940;BR0000024
A00000787;4501526310;Francis1955@1PPUDRY83P;2019-06-12;940572272;VND;C00000941;BR0000012
A00000788;8328603965;Dahlia1951@56TK6KPAWP;2018-08-18;984954540;VND;C00000942;BR0000028
A00000789;3340560039;Ty1990@GEVROLVAA9;2021-12-21;310617898;VND;C00000944;BR0000016
A00000790;2053928416;Jaime1971@53899WB8EF;2019-10-09;29293894;VND;C00000946;BR0000001
A00000791;6597638659;Ronin1944@QR87YSZ8T9;2019-12-31;902132328;VND;C00000948;BR0000036
A00000792;1070342656;Kian1996@N9USE6QM85;2021-10-22;894942243;VND;C00000949;BR0000022
A00000793;9141571642;Miracle1985@F4PID0BW25;2020-01-14;252540985;VND;C00000950;BR0000021
A00000794;1672134676;Madelynn1971@WSNGPQH4J7;2021-10-16;225801119;VND;C00000952;BR0000024
A00000795;8137970195;Malakai1957@VA3CE3JJSI;2021-07-28;838714849;VND;C00000953;BR0000002
A00000796;2121269553;Briana1962@KPA40FUJIG;2021-01-26;229653895;VND;C00000954;BR0000021
A00000797;5086480288;Atlas1990@KJR1LY3GE7;2021-05-15;628686944;VND;C00000955;BR0000019
A00000798;2120734022;Jerry1986@YR7NH01Y4U;2019-08-08;905269393;VND;C00000956;BR0000021
A00000799;6175809525;Freya1961@ST0YQI53Z0;2021-10-24;269913886;VND;C00000957;BR0000019
A00000800;4391441002;Macie1982@PZY0XWOTSW;2020-01-13;482890299;VND;C00000959;BR0000043
A00000801;5091696737;Helen1977@APISZURZYN;2021-07-08;459468844;VND;C00000960;BR0000009
A00000802;5228985739;Bethany1951@VOMJKRSJ82;2021-08-18;937366321;VND;C00000961;BR0000050
A00000803;3258878373;Ahmed1986@411D51FP7U;2021-09-23;71286857;VND;C00000962;BR0000040
A00000804;6123727967;Leia1986@J7QUSJ5JJ7;2021-07-07;738616701;VND;C00000963;BR0000041
A00000805;1195116760;Harlow1973@6RL9LR2UAJ;2019-01-05;986574537;VND;C00000964;BR0000012
A00000806;7796485911;Blake1992@BMT283M92A;2019-03-10;172434695;VND;C00000965;BR0000032
A00000807;9144925419;Sterling1999@SQFWX2JGDV;2018-09-14;68209485;VND;C00000967;BR0000021
A00000808;9789039812;Dennis1977@HTAXX2WFGT;2018-01-16;281609091;VND;C00000968;BR0000019
A00000809;7916497035;Lawrence1977@LMHDW9AYIC;2018-04-19;585979667;VND;C00000970;BR0000017
A00000810;8738379110;Jayleen1939@KMX7V78ZVD;2018-02-16;700399085;VND;C00000971;BR0000029
A00000811;1589157163;Angelica1990@85RV2YCR15;2020-05-01;45057827;VND;C00000973;BR0000020
A00000812;2125631034;Marilyn1979@EALOALUXQV;2021-12-29;863807144;VND;C00000975;BR0000021
A00000813;7572502980;Viviana1975@G6EKVFUA87;2020-08-04;743606077;VND;C00000976;BR0000009
A00000814;9143184041;Francesca1946@D7QI1MXJ6U;2021-08-02;924849826;VND;C00000977;BR0000021
A00000815;6173110681;Juniper1988@DLTS22OK01;2018-07-01;713583174;VND;C00000978;BR0000019
A00000816;7083764583;Darius1981@BS040XIPBB;2018-05-20;603972746;VND;C00000980;BR0000038
A00000817;4572266112;Arlo1980@JSA7C5Q337;2019-04-18;986253657;VND;C00000981;BR0000006
A00000819;7247939839;Eden1969@29IKM78ZO6;2020-10-21;940618125;VND;C00000984;BR0000026
A00000820;3796710767;Tony1975@E16RGEHVAU;2019-06-14;129679818;VND;C00000986;BR0000007
A00000821;7813906263;Dustin1972@MVM5592KIP;2018-04-19;108436207;VND;C00000987;BR0000019
A00000822;2427203713;Jazmin1959@CRW3TM2ZAI;2020-03-08;726766799;VND;C00000988;BR0000038
A00000823;6171902879;Chris1981@E8YUQ4JVWO;2020-01-16;368177139;VND;C00000990;BR0000019
A00000824;5736503994;Mohammed1961@EIOLZ3OVPX;2019-11-02;812582074;VND;C00000991;BR0000037
A00000825;6219553508;Nasir1968@K013FWLYU2;2021-03-27;874145366;VND;C00000992;BR0000040
A00000826;3058679852;Emely1989@TJAFKGYHWB;2020-12-25;873110512;VND;C00000993;BR0000014
A00000827;4780161733;Omari1991@KMTSDAZZ6B;2018-12-25;580055613;VND;C00000994;BR0000017
A00000828;2120552198;Cataleya2000@1FLBULQTUZ;2018-12-04;791815751;VND;C00000996;BR0000021
A00000829;6173193717;Kieran1970@OCMTBJV1V9;2021-08-24;599713715;VND;C00000997;BR0000019
A00000830;1876987210;Joy1986@LBPFBLJWWA;2020-05-21;145939435;VND;C00000999;BR0000007
A00000831;2484941623;Rhys1967@YTSIFLZJ82;2018-06-02;153428233;VND;C00001001;BR0000014
A00000832;5941082286;Abby1964@MKPWV0YI4H;2018-10-28;899524936;VND;C00001002;BR0000031
A00000833;7211233764;Malaysia1957@CMZJIWDV8V;2020-04-28;565473322;VND;C00001003;BR0000035
A00000834;2769676479;Armani1977@Y1Y2JNII4N;2018-11-17;61826547;VND;C00001004;BR0000022
A00000836;6238780033;Nylah1962@OU3O6NKGEV;2019-06-14;999576620;VND;C00001006;BR0000029
A00000837;5009493761;Bowen1976@ETHKNVA1NI;2020-03-31;288208551;VND;C00001008;BR0000018
A00000838;3813417785;Sarai1982@5LEQD6NJMR;2021-04-07;564943043;VND;C00001009;BR0000051
A00000839;9131997688;Callen1959@YJPLUTU9EN;2020-08-09;599858286;VND;C00001011;BR0000009
A00000840;2662083070;Evelynn1986@RHTFHV97NG;2019-05-18;976970538;VND;C00001012;BR0000029
A00000841;2123973526;Remy1951@YP46SP8XL9;2018-12-25;178091444;VND;C00001014;BR0000021
A00000842;4573649023;Wade1954@6KSHLIBVHY;2021-05-02;610644517;VND;C00001015;BR0000008
A00000843;6379788148;Zuri1963@37TW8H1D49;2020-10-21;694488162;VND;C00001017;BR0000018
A00000844;9019575531;Luka1965@U0BFKQXGZU;2019-03-23;91456066;VND;C00001018;BR0000024
A00000845;9427301026;Addyson1966@8KI4ZJ6H0B;2018-03-08;53908029;VND;C00001019;BR0000020
A00000846;5791028353;Aleah1997@8UCLQOCDX8;2018-07-10;83033261;VND;C00001020;BR0000003
A00000847;7893535787;Jakob1997@7BMEMUY2MK;2020-07-08;740033529;VND;C00001021;BR0000033
A00000848;9266139719;Winston1960@7E7RG4O0ON;2021-04-22;706358781;VND;C00001022;BR0000035
A00000849;2124287323;Justice1958@RL46DBLT2W;2019-04-04;923756132;VND;C00001023;BR0000021
A00000850;3760944689;Alonzo1976@FDY71Z5JFZ;2020-01-15;195768347;VND;C00001024;BR0000002
A00000851;2534862994;Curtis1984@TCUP7TSNAL;2019-06-21;570056729;VND;C00001025;BR0000050
A00000852;5088526449;Aarav1999@YQZ55O0981;2018-02-13;406870014;VND;C00001026;BR0000019
A00000853;2122314298;Kaia1960@GTXXY30XKE;2019-08-18;53786794;VND;C00001027;BR0000021
A00000854;2123332794;Bristol1974@ZN0YPZFU86;2018-05-03;365640851;VND;C00001029;BR0000021
A00000855;2121546319;Royce1967@SUZELUX994;2020-03-15;525663185;VND;C00001030;BR0000021
A00000856;4223664554;Lorelei1988@ARY7235R90;2019-11-17;750700270;VND;C00001031;BR0000033
A00000857;2127561925;Jazmine1958@ZSHJRQ3QJ5;2019-08-03;279429670;VND;C00001032;BR0000021
A00000858;1776374505;Maeve1994@E7ISQJF70U;2021-03-13;490692198;VND;C00001034;BR0000024
A00000859;2439947577;Alejandra1991@E9HUN1I74Q;2021-04-01;717394180;VND;C00001035;BR0000032
A00000860;2129601540;Justice1985@2KUVQH276L;2019-08-13;127049682;VND;C00001037;BR0000021
A00000861;9788315722;Julie1981@WGU4MFVFWJ;2019-06-12;377482692;VND;C00001038;BR0000019
A00000862;1099439230;Marlee2000@MRCPTJYFCU;2018-03-17;840781240;VND;C00001039;BR0000029
A00000863;2121388605;Kyson1980@U4YTVO3G4J;2020-06-14;558454147;VND;C00001040;BR0000021
A00000864;7283642957;Hank1981@E73UU121I5;2021-04-04;835115650;VND;C00001041;BR0000003
A00000865;5026813452;Phoenix1986@EHBJ28CJHF;2020-04-18;170163920;VND;C00001042;BR0000004
A00000866;6177147934;Jimena1991@4JSKOBTNLH;2020-07-12;798545888;VND;C00001044;BR0000019
A00000867;7818693580;Emmalyn1967@OLHTDXNDBA;2019-04-21;52728163;VND;C00001045;BR0000019
A00000868;2120183757;Roy1995@XQC4Q4SYD9;2021-03-13;427060497;VND;C00001046;BR0000021
A00000869;5579766902;Nayeli1983@G7QI56VEAY;2021-05-07;79581402;VND;C00001047;BR0000009
A00000870;3483900382;Aleena1994@CRVE3OMNU4;2018-08-21;87627556;VND;C00001048;BR0000029
A00000871;2124159445;Raphael1962@U5CQN430JC;2021-12-30;828072318;VND;C00001049;BR0000021
A00000872;5452449922;Brittany1991@5A0U7PXCD6;2019-10-12;195429349;VND;C00001050;BR0000001
A00000873;1758909056;Amara1991@7D43UVCGDI;2020-04-18;142461328;VND;C00001051;BR0000024
A00000874;6177628197;Luciano1984@P0M4JCTUUS;2020-03-05;653176354;VND;C00001052;BR0000019
A00000875;3314382564;Hayes1944@3IGOR9WV3O;2019-03-15;896809605;VND;C00001054;BR0000024
A00000876;3163688134;Case1939@88YXWMSQCM;2020-03-23;264484394;VND;C00001055;BR0000044
A00000877;2129696309;Darren1983@R67S53FUGA;2018-01-29;8765638;VND;C00001056;BR0000021
A00000878;5220682188;Mohammad1959@TX8QTTNUCG;2019-11-26;774011718;VND;C00001057;BR0000024
A00000879;6176136193;Giuliana1995@XSS9EWPDH5;2018-02-14;336886338;VND;C00001058;BR0000019
A00000880;5193621205;Otto1980@L8FHJQH2M9;2020-03-29;308298305;VND;C00001059;BR0000048
A00000882;9817558787;Layton1995@PN7ACS0FY0;2021-08-03;800866052;VND;C00001062;BR0000009
A00000883;2121601396;Kassidy1971@X2M4VTSFYX;2020-06-05;974862875;VND;C00001064;BR0000021
A00000884;8595967701;Isaias1977@2IDBV3BEBV;2021-12-30;648018782;VND;C00001065;BR0000033
A00000885;2126587165;Alberto1960@GADCV9AXUO;2020-03-03;210193945;VND;C00001066;BR0000021
A00000886;2124605301;Jamari1972@JAJFKQWAMI;2018-01-15;289994531;VND;C00001067;BR0000021
A00000887;5160330577;Braelyn1946@FKDBK6Q8T4;2018-06-19;437967905;VND;C00001068;BR0000032
A00000888;8642901090;Luciana1958@Z037DPMHLL;2018-07-12;614760662;VND;C00001069;BR0000001
A00000889;8110668296;Dax1945@XW8L37ZSF3;2021-04-24;850882444;VND;C00001071;BR0000005
A00000890;7814344272;Aubrie1986@3BBHHJRWDP;2018-06-24;705167293;VND;C00001072;BR0000019
A00000891;7217467428;Marvin1944@EDIE3XDWC9;2019-12-05;162253381;VND;C00001073;BR0000034
A00000892;6173487409;Madisyn1954@KJCVDG1L3P;2021-10-14;486384853;VND;C00001075;BR0000019
A00000893;7144026860;Brylee1999@QWJ246BZIL;2021-11-15;330545299;VND;C00001076;BR0000024
A00000894;4022374396;Casey1940@6EP3RBLUGM;2021-10-21;979400398;VND;C00001077;BR0000029
A00000895;1970401217;Leighton1998@AO4W5DOHAZ;2018-07-30;777206947;VND;C00001078;BR0000025
A00000896;2450855328;Moshe1981@5Y6ZWUEGRZ;2019-06-23;748490397;VND;C00001079;BR0000022
A00000897;9556507130;Ryan1970@DDFG7BE8HU;2019-04-30;428216049;VND;C00001080;BR0000001
A00000898;6178331808;Johan1990@TQLWFMUYCY;2021-02-28;483074234;VND;C00001081;BR0000019
A00000899;6175727007;Sam1987@R974NPTWXQ;2019-11-16;959080568;VND;C00001082;BR0000019
A00000900;5089512034;Matthias1957@R9HYFPXCQT;2018-11-14;801298897;VND;C00001083;BR0000019
A00000901;7813117153;Eve1952@06MD15OQXM;2021-07-06;128074349;VND;C00001085;BR0000019
A00000902;8244448947;Larry1993@YXLRS1DR6W;2020-09-03;486399235;VND;C00001086;BR0000007
A00000903;4455623487;Kelly1989@GRZ9614L14;2021-09-26;448800329;VND;C00001088;BR0000046
A00000904;2123022961;Trey1959@HXW9HGN2SI;2019-11-30;950710282;VND;C00001089;BR0000021
A00000905;5094898325;Selah1959@V2XUYQGJ9L;2020-12-13;675038642;VND;C00001090;BR0000023
A00000906;6174687856;Lacey1960@Y1F3AQDIVV;2018-04-16;230670429;VND;C00001091;BR0000019
A00000907;1336716404;Willa1982@YXRB3EAL1H;2018-10-07;909243714;VND;C00001092;BR0000008
A00000908;2150245413;Haylee1996@L5LV5XKPWM;2018-07-14;525910836;VND;C00001093;BR0000008
A00000909;8689671448;Jaylah1980@V4XBPD9C6G;2019-12-25;720094539;VND;C00001094;BR0000039
A00000910;2123101636;Sylvia1946@WIXF5OBPOP;2018-04-21;912100390;VND;C00001096;BR0000021
A00000911;7810661283;Melany1968@IUP0HSXN9P;2018-01-04;5826031;VND;C00001098;BR0000019
A00000912;6173580267;Elisa1999@EUWUWMDSQS;2018-01-15;166901500;VND;C00001099;BR0000019
A00000913;6172438287;Mauricio1971@KMVKXDG3FP;2020-03-01;371736595;VND;C00001100;BR0000019
A00000914;9498097698;Mathias1966@N87XQC3FWT;2018-09-16;923186617;VND;C00001101;BR0000007
A00000915;9000482704;Issac1955@KVIC1MLI82;2021-08-06;335583246;VND;C00001102;BR0000003
A00000916;2124598799;Dorian1971@ONIV4UYC0B;2020-12-14;605499326;VND;C00001103;BR0000021
A00000917;6177497714;Gianni1962@SJUB2QTLQ9;2021-03-10;23283811;VND;C00001105;BR0000019
A00000918;7818755332;Ahmad1981@AKGB2DVHDN;2021-01-07;396903150;VND;C00001107;BR0000019
A00000919;1470960266;Raven1975@UA68CZMWIH;2018-03-16;458229228;VND;C00001108;BR0000008
A00000920;5086160754;Holly1951@BEPEX0D7J0;2021-07-26;217569178;VND;C00001109;BR0000019
A00000921;5650574317;Aisha1948@VZ3EGYXR5I;2021-01-28;160677020;VND;C00001110;BR0000012
A00000922;5081741213;Nikolas1999@KASK1QR19E;2020-01-13;289167158;VND;C00001111;BR0000019
A00000923;5757530135;Itzel1950@T0NOS1OKXZ;2021-07-28;863932377;VND;C00001112;BR0000032
A00000924;7274596206;Oakley1996@3YNIFL9XB5;2021-07-26;370168736;VND;C00001113;BR0000043
A00000925;6175639308;Uriel2000@8QHMBP0COA;2020-12-07;789222369;VND;C00001114;BR0000019
A00000926;2035678496;Kyra1940@TN546AJEE7;2021-02-06;66314885;VND;C00001115;BR0000017
A00000927;9787788432;Tiffany1993@2RCR463UMH;2021-10-12;595128794;VND;C00001116;BR0000019
A00000928;7257726072;Jayda1996@EK67NVPEJ4;2020-05-21;782040159;VND;C00001117;BR0000026
A00000929;9937824346;Michaela2000@PN0QS5OFVG;2020-11-03;361421265;VND;C00001119;BR0000001
A00000930;9367980091;Madilynn1993@L4AGWXQ0R8;2020-01-25;956542644;VND;C00001120;BR0000008
A00000931;6179272995;Randy1959@6D8ZR640UH;2018-06-29;643407093;VND;C00001121;BR0000019
A00000932;2986501719;Cullen1941@GDVSZ2E69B;2020-07-02;324575052;VND;C00001122;BR0000026
A00000933;5469995216;Braydon1948@AELLL6JVEQ;2020-01-20;335293719;VND;C00001124;BR0000045
A00000934;6171558562;Celeste1954@EZSPV8W27S;2019-10-16;222343668;VND;C00001125;BR0000019
A00000935;1118400264;Reece1994@DLE8J045OX;2021-02-07;109008661;VND;C00001127;BR0000030
A00000936;5133272032;Jimmy1950@N9LHLVLQJR;2018-03-06;911949274;VND;C00001128;BR0000010
A00000937;4900972554;Crosby1951@FOM8EQBD79;2021-11-03;795327409;VND;C00001129;BR0000005
A00000938;8479344836;Lilian1960@8VAGPWS1LE;2019-11-13;307720710;VND;C00001130;BR0000029
A00000939;9789587540;Remi1967@EK4GTWEECK;2021-08-12;97572158;VND;C00001131;BR0000019
A00000940;7003415117;Priscilla1978@BKFQ8PP54U;2020-01-24;457459069;VND;C00001133;BR0000042
A00000941;4975342501;Roger1972@SEKTCVDLLK;2018-01-20;994919900;VND;C00001135;BR0000011
A00000942;6178496155;Jazlyn1996@YBVMIBK4UP;2019-05-03;625495790;VND;C00001136;BR0000019
A00000943;2125279806;Karen1997@LGDFH547DY;2019-03-25;284501175;VND;C00001137;BR0000021
A00000944;6586429338;Savanna1990@N9OMAS5UKY;2019-11-06;748902738;VND;C00001138;BR0000029
A00000945;5292044055;Emmitt1966@Y9BJ5GCJPF;2019-11-16;416981343;VND;C00001140;BR0000049
A00000946;1563576827;Zariah1961@1N2GLLJUOM;2020-01-13;701565265;VND;C00001141;BR0000045
A00000947;6176094744;Lauryn1966@ZLSM9ROXRT;2021-09-13;716510492;VND;C00001142;BR0000019
A00000949;5089611095;Alanna1988@F23B41CUD7;2021-09-14;792214468;VND;C00001145;BR0000019
A00000950;9781009008;Rayan1985@GGOJ5NHM6G;2020-03-18;980403926;VND;C00001146;BR0000001
A00000951;7876633924;Ricky1950@TCRIGSP1FF;2020-09-05;434415554;VND;C00001147;BR0000022
A00000952;3348295634;Mitchell1961@YKV0NFXCK6;2019-02-01;447076146;VND;C00001148;BR0000008
A00000953;5611128760;Kara1996@C6EYE2G56H;2021-12-02;9888672;VND;C00001149;BR0000020
A00000954;8982714328;Karla1965@OXD5LILAPD;2021-12-17;468710278;VND;C00001150;BR0000007
A00000955;6178637010;Roland1993@OICUAB43YH;2021-07-05;744806489;VND;C00001151;BR0000019
A00000956;4590170877;Alfredo2001@PMFBW18J2W;2021-05-09;898746613;VND;C00001152;BR0000007
A00000957;2710412015;Cassandra2000@RMRM26G1I7;2021-05-05;356352508;VND;C00001153;BR0000029
A00000958;9944846729;Cannon1944@ICWYJ4292A;2019-10-11;481690961;VND;C00001154;BR0000003
A00000959;2122908567;Evie1953@P2IDYTIZ53;2020-04-07;187078036;VND;C00001156;BR0000021
A00000960;5751362067;Frances1978@VW0G987G8R;2019-04-12;652692838;VND;C00001157;BR0000044
A00000961;2129948393;Aileen1974@4GS7XUKUQU;2020-08-24;229467833;VND;C00001158;BR0000021
A00000962;9318900834;Jalen1964@8N5FX3IWS7;2020-07-28;558042928;VND;C00001159;BR0000041
A00000963;8033734651;Tatum1993@Y83TP35LRO;2020-09-17;369550337;VND;C00001161;BR0000010
A00000964;6141754459;Charley1995@MRMK09ZDBJ;2019-11-05;201081280;VND;C00001162;BR0000048
A00000965;6276892424;Kobe1984@AI4OF50U67;2020-03-31;628187818;VND;C00001163;BR0000026
A00000966;8096719428;Rosemary1979@RDHYF8369C;2020-01-28;300995258;VND;C00001164;BR0000050
A00000967;6848912003;Danna1962@5OOY1100Y5;2020-05-25;131593881;VND;C00001165;BR0000050
A00000968;9618610893;Yusuf1979@YL4IRH4YY9;2020-06-05;894600475;VND;C00001166;BR0000007
A00000969;7438458216;Quinton1998@E9JUQY8IQZ;2018-09-07;299303198;VND;C00001168;BR0000040
A00000970;1568266625;Kaelyn1961@H9W141Y840;2021-02-26;33240675;VND;C00001169;BR0000049
A00000971;8408791532;Korbin1997@7ZR6GINW6W;2019-04-21;89916667;VND;C00001170;BR0000028
A00000972;1320452097;Virginia1994@6GZOI9CD94;2021-07-07;916071497;VND;C00001171;BR0000029
A00000973;3485144594;Hanna1943@I0LWXENQ2W;2018-06-13;825809855;VND;C00001172;BR0000001
A00000974;8483525548;Rebekah1990@3LN95R8GWA;2019-02-19;421316186;VND;C00001174;BR0000027
A00000975;2128756240;Joe1945@0M91OJQG5I;2020-10-24;619071114;VND;C00001175;BR0000021
A00000976;3155345256;Edith1959@XVACMAMNMM;2018-03-18;75613745;VND;C00001177;BR0000021
A00000977;2124073083;Liana1991@1VJ1QHIATC;2021-04-04;588353560;VND;C00001178;BR0000021
A00000978;2123910632;Charleigh1950@7UT69CGN86;2019-06-23;275127268;VND;C00001179;BR0000021
A00000979;6177091680;Byron1964@4JY0RP9PMQ;2021-03-23;636917173;VND;C00001180;BR0000045
A00000980;2124479736;Ariel1959@Z4NZ3QBKCK;2020-10-24;845691001;VND;C00001181;BR0000021
A00000981;8496739339;Gloria1966@RDZW12853I;2020-12-09;416867927;VND;C00001182;BR0000017
A00000982;6812431395;Quincy1962@EQGV0FWR52;2019-01-06;879667231;VND;C00001183;BR0000001
A00000984;2035368848;Cameron1967@WB39T8Z9BV;2018-04-12;805704820;VND;C00001186;BR0000033
A00000985;9106393048;Colette1981@K9P8O17MRR;2020-05-14;545314805;VND;C00001187;BR0000037
A00000986;1913578332;Kailey1952@03SEWT143S;2020-10-22;665569956;VND;C00001189;BR0000007
A00000987;1592263501;Carter1996@DPLK75VOCB;2020-02-26;561850732;VND;C00001190;BR0000050
A00000988;1631009639;Helena1945@IZOUJTMTZS;2020-01-18;725712556;VND;C00001192;BR0000012
A00000989;9267639863;Alvin1946@M64FQS2V5R;2021-02-20;733221111;VND;C00001193;BR0000040
A00000990;7554127389;Matilda1959@1BS1JKTWDH;2021-12-25;931960885;VND;C00001194;BR0000004
A00000991;2074652754;Imani1959@IBCFC6VFSQ;2018-11-25;354106175;VND;C00001195;BR0000016
A00000992;8985799177;Duke1963@X64VP8408R;2019-04-22;50307681;VND;C00001196;BR0000013
A00000993;4107680505;Bridget1986@U7MXLO7ZDK;2018-04-15;521088646;VND;C00001197;BR0000018
A00000994;8070477938;Cynthia1995@CJBM7NEVWE;2019-07-02;641985739;VND;C00001198;BR0000003
A00000995;6441604985;Janiyah1996@SSG136NYU1;2021-10-30;865746896;VND;C00001199;BR0000041
A00000996;4048245878;Marissa1951@4A87OPV6FZ;2019-02-16;587278482;VND;C00001200;BR0000046
A00000997;5771625676;Lance1965@KSOE41MBVZ;2021-03-27;611566276;VND;C00001201;BR0000001
A00000998;5066844619;Johanna2000@XDRZNJ2XFG;2020-12-13;979363779;VND;C00001202;BR0000046
A00001000;3154389941;Sasha1994@MD1VSZO3OH;2018-12-25;626387151;VND;C00001204;BR0000021
A00001002;7167293104;London1977@DZK25LZPLS;2021-09-28;742757752;VND;C00001206;BR0000021
A00001003;3933762252;Kaliyah1959@7MC0JJ1FXY;2020-11-11;704551185;VND;C00001207;BR0000015
A00001004;4465333130;Cecelia1995@C42RWWPLO6;2019-07-11;494689820;VND;C00001208;BR0000029
A00001005;6239046964;Adelina1977@PPQXCQIGPZ;2021-06-06;410728693;VND;C00001209;BR0000017
A00001006;7070670284;Jasiah1981@LK6H30V4KV;2021-07-23;912619588;VND;C00001210;BR0000018
A00001007;2120904333;Boston1998@U5AIX8QXNB;2019-12-29;49399856;VND;C00001211;BR0000021
A00001008;3096212176;Jessa1947@7W0PLTXEE9;2020-09-16;91756888;VND;C00001212;BR0000032
A00001009;2120102957;Santino1986@0PU7CBGFMW;2020-10-08;720084325;VND;C00001213;BR0000021
A00001010;5085192044;Lennon1960@FOOZ5SR77X;2018-02-11;508174504;VND;C00001214;BR0000019
A00001011;3716520594;Deandre1964@U43EWMDGU9;2018-04-16;472524545;VND;C00001215;BR0000047
A00001012;6170734821;Hayley1965@2ACBT5YE8J;2021-08-22;172555121;VND;C00001216;BR0000019
A00001013;6178466482;Madden1957@9LQX5QYUH1;2019-07-31;168360004;VND;C00001217;BR0000019
A00001014;4472025625;Talon2000@EXG080B0XE;2021-01-30;415054765;VND;C00001218;BR0000007
A00001015;2126352396;Sylas1964@S9PAA8TNKS;2018-01-26;776461456;VND;C00001219;BR0000021
A00001016;6947801379;Julissa1973@BWDUORYF2Z;2019-05-31;199068744;VND;C00001220;BR0000038
A00001017;4391137916;Winter1993@MWAIGYC673;2018-04-22;467218410;VND;C00001221;BR0000020
A00001018;2085653745;Crystal1959@GEYVCI64VJ;2020-06-02;868414301;VND;C00001222;BR0000010
A00001019;7848538628;Kaylie1975@1FREQ15CMV;2021-08-07;941915875;VND;C00001223;BR0000020
A00001020;6178645824;Orlando1958@WK2NJ25NYF;2021-11-18;584967058;VND;C00001224;BR0000019
A00001021;2056045538;Hamza1966@I6FTUN4ERW;2021-10-17;489075073;VND;C00001225;BR0000031
A00001022;4319255671;Bailee1971@5877IAOWXG;2019-05-16;147354643;VND;C00001226;BR0000051
A00001023;4322385395;Charli1969@DT6I54WESJ;2020-02-21;291490703;VND;C00001228;BR0000045
A00001024;2166322434;Aldo1991@WH2K8Q2MCP;2020-11-19;360466460;VND;C00001229;BR0000040
A00001026;7257386179;Henley1985@ZN6C90X3G9;2020-07-08;763138869;VND;C00001231;BR0000026
A00001027;4948085774;Tristen1962@RD9T0X01GP;2021-06-03;958608589;VND;C00001233;BR0000017
A00001028;6114474901;Wilson1995@M4CDX816YE;2020-12-05;623755742;VND;C00001234;BR0000030
A00001029;7172258842;Maia1987@ZSFNNJ2U67;2021-11-04;178382850;VND;C00001236;BR0000048
A00001030;5085418481;Maurice1943@E60RGBN9DK;2018-06-25;409974458;VND;C00001237;BR0000019
A00001031;6920130674;Samson1955@XIIMYBFD5O;2019-02-03;980241030;VND;C00001238;BR0000007
A00001032;3224098827;Skyla1996@6ZMTVS2N84;2020-08-16;18234131;VND;C00001239;BR0000043
A00001033;4897705816;Liberty1996@AS7DL50RYG;2018-07-01;333569772;VND;C00001240;BR0000037
A00001034;7750647453;Fernanda1962@1PGR241WE3;2020-09-05;974990296;VND;C00001241;BR0000024
A00001035;1106610836;Monica1964@R5OK8SA46F;2020-07-14;105561062;VND;C00001242;BR0000024
A00001036;4988690802;Braylee1994@MSY1P4KP57;2019-10-10;460630289;VND;C00001243;BR0000043
A00001037;2128252848;Cayson1984@JBL0BLFG38;2019-01-25;311674134;VND;C00001244;BR0000021
A00001038;6172597598;Bryant1999@OZTFYVGV40;2018-01-27;100511376;VND;C00001245;BR0000041
A00001039;7810048273;Conrad1982@T5V38HZOEQ;2019-03-10;832198722;VND;C00001246;BR0000029
A00001040;9400079030;Dane1991@KSJRP60OI8;2020-10-31;536630798;VND;C00001248;BR0000040
A00001042;9419087283;Mariam1972@5C1L33T5S5;2021-08-14;491028008;VND;C00001250;BR0000005
A00001043;2122527834;Julien1979@A9BSIBBNSP;2018-11-29;346842706;VND;C00001251;BR0000021
A00001044;1760545463;Beatrice1987@S8V7XYNVOT;2019-01-03;896555175;VND;C00001253;BR0000020
A00001045;9118771002;Hallie1959@3914MZ0SFF;2021-03-07;544901780;VND;C00001254;BR0000022
A00001046;2121465433;Maryam1986@MOSXDAF9X7;2018-11-21;432514730;VND;C00001255;BR0000021
A00001047;9899656699;Angelique1975@2D5J3LMXGP;2020-12-03;655453645;VND;C00001256;BR0000029
A00001048;2255387235;Anne1948@5FVD87303Z;2020-12-27;888445070;VND;C00001257;BR0000023
A00001049;8624440641;Noe1986@3V2E2CHHJ6;2018-10-07;822568476;VND;C00001259;BR0000049
A00001050;5088271350;Madalyn1965@7JD935CLZA;2018-07-20;27043525;VND;C00001260;BR0000019
A00001051;5296163692;Nelson1972@H61DD0I71Y;2020-05-05;546325752;VND;C00001262;BR0000023
A00001052;5084621536;Annika1996@REWVNJLDKS;2019-04-29;705576568;VND;C00001264;BR0000019
A00001053;5087852739;Greta1978@YE8VNM57GP;2021-11-01;235969743;VND;C00001265;BR0000019
A00001054;6177009293;Lilyana1972@YI8GI4Z4W8;2021-12-25;992230906;VND;C00001266;BR0000019
A00001055;7371919237;Kadence1974@GFOWUGP2PO;2018-04-21;204319043;VND;C00001267;BR0000027
A00001056;2125161997;Coraline1968@3N8YJJITK8;2020-11-24;248295755;VND;C00001269;BR0000021
A00001057;8023382938;Ramon1950@J3U55QL4OL;2021-12-29;313806232;VND;C00001270;BR0000032
A00001058;1131281841;Lucian1955@QEPVRZ1HBK;2019-08-02;818893411;VND;C00001271;BR0000046
A00001059;5686419043;Mekhi1964@4NQ9EZHD8A;2020-08-04;738859156;VND;C00001272;BR0000011
